DrugName	GDSC1_version	GDSC1_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50	
Rapamycin	GDSC1	223	193	1.59E-04	0	4.594009155	
JW-7-52-1	GDSC1	239	177	0.007507011	9	55.84960707	
Erlotinib	GDSC1	247	13	0.043695335	168	200.685743	
Seliciclib	GDSC1	248	0	9.711590188	247	835.689253	
Bortezomib	GDSC1	248	248	4.85E-05	0	0.703714693	
Lapatinib	GDSC1	249	13	0.031258585	166	165.858321	
Entinostat	GDSC1	250	54	0.102808004	45	144.9154547	
Cyclopamine	GDSC1	251	0	9.135603224	249	1330.416557	
Salubrinal	GDSC1	251	0	3.656563555	237	539.455292	
XMD8-85	GDSC1	251	2	0.485248912	171	663.4470112	
GNF-2	GDSC1	252	1	0.602101527	177	59.87944985	
Paclitaxel	GDSC1	252	225	0.001261915	1	12.25962114	
TGX221	GDSC1	253	3	0.0959138	229	470.9445411	
S-Trityl-L-cysteine	GDSC1	253	37	0.35523864	65	500.7566427	
AZ628	GDSC1	253	40	0.013433032	121	201.7795143	
Tozasertib	GDSC1	253	55	0.007320404	83	207.0767089	
BI-2536	GDSC1	253	213	0.008067235	3	25.30005167	
GW843682X	GDSC1	253	220	0.005942159	1	23.39664392	
BMS-509744	GDSC1	254	0	1.641909072	190	370.8548855	
CGP-082996	GDSC1	254	1	0.430500684	186	210.730562	
WZ-1-84	GDSC1	254	1	0.832652215	232	409.5638201	
Pyrimethamine	GDSC1	254	1	0.722244783	217	967.1388804	
CMK	GDSC1	254	2	0.742958853	127	348.5647217	
Sunitinib	GDSC1	254	6	0.043460131	165	564.8603548	
A-770041	GDSC1	254	35	0.090641232	143	155.7305671	
WH-4-023	GDSC1	254	43	0.022054875	141	475.9771777	
Z-LLNle-CHO	GDSC1	254	53	0.299224552	49	272.2311311	
Dasatinib	GDSC1	254	102	0.011866095	68	92.30454713	
A-443654	GDSC1	254	181	0.024961397	14	46.33945319	
CGP-60474	GDSC1	254	228	0.006784464	0	9.289263037	
Sorafenib	GDSC1	255	5	0.204869494	118	168.3325198	
MG-132	GDSC1	255	124	0.015575896	24	66.85812748	
Parthenolide	GDSC1	256	0	1.415612961	196	251.7974275	
GSK319347A	GDSC1	256	0	7.455017473	255	303.8175719	
Imatinib	GDSC1	258	1	0.230975103	225	140.8514082	
PHA-665752	GDSC1	258	4	0.116654671	209	145.0448908	
Saracatinib	GDSC1	258	11	0.319138454	145	125.8925865	
Crizotinib	GDSC1	259	5	0.052426205	197	141.7139746	
NVP-TAE684	GDSC1	259	76	0.004630106	45	60.89084512	
QL-XII-61	GDSC1	421	0	1.00607892	380	553.1766495	
HG-5-88-01	GDSC1	441	2	0.086449497	366	481.7754278	
XMD11-85h	GDSC1	442	0	4.408040762	428	493.781515	
HG-5-113-01	GDSC1	442	11	0.571182873	100	229.434147	
ZG-10	GDSC1	442	20	0.362746333	90	328.3028222	
XMD8-92	GDSC1	443	0	2.845683703	365	493.781515	
QL-VIII-58	GDSC1	444	354	0.021754845	4	109.9418052	
Pevonedistat	GDSC1	559	256	0.030288598	72	53.47393377	
YK-4-279	GDSC1	645	33	0.439089996	155	493.4401495	
FMK	GDSC1	647	0	6.504367817	646	1275.398763	
SB216763	GDSC1	693	0	4.975958329	683	630.1143413	
PFI-3	GDSC1	697	0	4.269174436	693	849.998932	
Wee1 Inhibitor	GDSC1	697	18	0.051588316	281	148.5431415	
Mirin	GDSC1	707	0	5.322915327	704	6716.019018	
Thapsigargin	GDSC1	713	672	3.74E-04	4	14.94700423	
Dabrafenib	GDSC1	715	52	0.009285344	582	538.59389	
Bleomycin	GDSC1	715	179	0.026921933	286	2355.161002	
PAC-1	GDSC1	716	7	0.617943973	408	107.1065972	
PF-562271	GDSC1	719	9	0.196284797	248	161.3092713	
Cetuximab	GDSC1	720	1	0.226639561	710	3797.977587	
Luminespib	GDSC1	720	666	0.003358148	4	14.81692575	
Bexarotene	GDSC1	721	2	0.90457009	626	392.4294732	
Pazopanib	GDSC1	724	12	0.059783726	551	391.514569	
BMS-754807	GDSC1	724	234	0.009212176	100	97.51353296	
Obatoclax Mesylate	GDSC1	725	503	0.011864221	30	744.6614272	
Torin 2	GDSC1	725	515	0.0128289	57	1020.888206	
Bryostatin 1	GDSC1	725	725	0.001773424	0	0.375139678	
GSK650394	GDSC1	726	8	0.494805343	517	835.4114709	
FH535	GDSC1	726	22	0.117773471	246	1444.56425	
Linsitinib	GDSC1	726	62	0.048360296	372	108.193302	
Epothilone B	GDSC1	726	721	5.54E-05	0	1.881982708	
IPA-3	GDSC1	728	0	2.389260897	658	3387.062092	
GSK1904529A	GDSC1	728	5	0.397113114	361	63.53017507	
AS601245	GDSC1	728	7	0.272830086	309	497.2143645	
OSU-03012	GDSC1	728	24	0.252787887	276	767.4731092	
LFM-A13	GDSC1	729	0	12.0855525	729	976.2900054	
BAY-61-3606	GDSC1	729	23	0.177077556	346	505.1691239	
Tipifarnib	GDSC1	729	103	0.01618336	226	727.8843619	
Shikonin	GDSC1	729	346	0.019868173	50	253.8668589	
Mitomycin-C	GDSC1	729	484	0.011420128	24	243.9106189	
QS11	GDSC1	730	2	0.551919568	554	765.1630367	
JQ12	GDSC1	730	149	0.008744123	209	202.5496495	
Dacinostat	GDSC1	730	708	0.005423806	2	24.31923592	
DMOG	GDSC1	731	0	12.44707311	731	53395.78397	
Embelin	GDSC1	731	0	1.042426948	516	1267.109986	
