DrugName	GDSC1_version	GDSC1_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50		DrugID
(5Z)-7-Oxozeaenol	GDSC1	756	168	0.009727361	87	364.3207183	#N/A	
A-770041	GDSC1	254	35	0.090641232	143	155.7305671	#N/A	
Afatinib	GDSC1	786	192	8.50E-04	67	34.104869	#N/A	1032
Alisertib	GDSC1	752	109	0.012504246	305	92.9074259	#N/A	
Apitolisib	GDSC1	758	326	0.050011023	77	502.8012049	#N/A	
AR-42	GDSC1	761	441	0.027358387	74	257.9077998	#N/A	
AST-1306	GDSC1	756	81	0.022744895	191	719.9576645	#N/A	
AT-7519	GDSC1	759	192	0.015291543	199	583.009171	#N/A	
AZ20	GDSC1	781	135	0.077876108	75	354.2005425	#N/A	
AZ628	GDSC1	253	40	0.013433032	121	201.7795143	#N/A	
AZD1480	GDSC1	777	44	0.029346716	193	136.4021384	#N/A	
AZD2014	GDSC1	774	422	0.056229338	41	226.2120288	#N/A	
AZD4547	GDSC1	734	48	0.002947866	340	73.959848	#N/A	1497
AZD5438	GDSC1	771	143	0.119766164	45	62.53224527	#N/A	
AZD5582	GDSC1	764	94	0.006127681	326	473.8237888	#N/A	
AZD7762	GDSC1	787	465	0.012671067	41	68.741406	#N/A	1022
AZD8186	GDSC1	771	53	0.027926589	275	96.516142	#N/A	
AZD8931	GDSC1	768	87	0.022666214	222	388.5081225	#N/A	
Belinostat	GDSC1	748	326	0.037668221	103	586.6510813	#N/A	
Bleomycin	GDSC1	715	179	0.026921933	286	2355.161002	#N/A	
Bleomycin (10 uM)	GDSC1	775	135	0.028237917	312	507.6116755	#N/A	
Bleomycin (50 uM)	GDSC1	777	133	0.046652704	379	2446.708478	#N/A	
BMS-536924	GDSC1	254	53	0.067389246	105	153.5036828	#N/A	62
BMS-754807	GDSC1	724	234	0.009212176	100	97.51353296	#N/A	
Bosutinib	GDSC1	786	55	0.074898276	334	108.6619527	#N/A	
CAY10603	GDSC1	764	164	0.079031304	137	682.4464006	#N/A	
CI-1033	GDSC1	769	39	0.028518778	341	1228.097086	#N/A	
CI-1040	GDSC1	774	52	0.053365921	395	314.1429641	#N/A	
CUDC-101	GDSC1	756	437	0.016007382	76	287.6083627	#N/A	
CX-5461	GDSC1	767	36	0.085322535	546	738.4363773	#N/A	
Cytarabine	GDSC1	782	345	0.019066359	85	107.7989514	#N/A	
Dabrafenib	GDSC1	715	52	0.009285344	582	538.59389	#N/A	
Daporinad	GDSC1	739	520	6.36E-04	49	54.97579267	#N/A	
Entinostat	GDSC1	250	54	0.102808004	45	144.9154547	#N/A	
