DrugName	GDSC1_version	GDSC1_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50
Erlotinib	GDSC1	247	13	0.0436953350939853	168	200.6857430187853
Rapamycin	GDSC1	223	193	1.587787222496561e-4	0	4.5940091546249535
Sunitinib	GDSC1	254	6	0.043460131082244155	165	564.8603548274272
PHA-665752	GDSC1	258	4	0.11665467140282326	209	145.0448907664825
MG-132	GDSC1	255	124	0.015575895624206743	24	66.85812747874004
Paclitaxel	GDSC1	252	225	0.001261915333825459	1	12.259621141104992
Cyclopamine	GDSC1	251	0	9.135603223789094	249	1330.4165570923813
AZ628	GDSC1	253	40	0.013433031525961628	121	201.779514320113
Sorafenib	GDSC1	255	5	0.2048694936318525	118	168.33251984641183
Tozasertib	GDSC1	253	55	0.0073204044265970485	83	207.07670889673417
Imatinib	GDSC1	258	1	0.23097510288213807	225	140.85140817993178
NVP-TAE684	GDSC1	259	76	0.004630105888773721	45	60.89084512128367
Crizotinib	GDSC1	259	5	0.05242620522235698	197	141.71397461923817
Saracatinib	GDSC1	258	11	0.3191384544086766	145	125.89258646454606
S-Trityl-L-cysteine	GDSC1	253	37	0.355238640354125	65	500.7566427201862
Z-LLNle-CHO	GDSC1	254	53	0.2992245518279239	49	272.23113105730084
Dasatinib	GDSC1	254	102	0.011866095108099856	68	92.30454713224003
GNF-2	GDSC1	252	1	0.602101526633551	177	59.879449851947754
CGP-60474	GDSC1	254	228	0.006784463997320376	0	9.289263036571523
CGP-082996	GDSC1	254	1	0.43050068368377126	186	210.73056197359125
A-770041	GDSC1	254	35	0.09064123164847065	143	155.73056709069897
WH-4-023	GDSC1	254	43	0.02205487517843175	141	475.97717766498215
WZ-1-84	GDSC1	254	1	0.8326522150000388	232	409.56382010409396
BI-2536	GDSC1	253	213	0.008067235205101032	3	25.30005166939586
BMS-536924	GDSC1	1019	76	0.06738924597912649	473	153.50368281199567
BMS-509744	GDSC1	254	0	1.6419090717920874	190	370.85488554237554
CMK	GDSC1	254	2	0.7429588532528119	127	348.5647216922502
Pyrimethamine	GDSC1	254	1	0.7222447829440435	217	967.1388804037018
JW-7-52-1	GDSC1	239	177	0.007507011270952736	9	55.84960706785778
A-443654	GDSC1	254	181	0.02496139681268631	14	46.33945319103017
GW843682X	GDSC1	253	220	0.005942159354346475	1	23.396643923381205
Entinostat	GDSC1	250	54	0.102808003595946	45	144.91545465158796
Parthenolide	GDSC1	256	0	1.4156129606004595	196	251.79742747068116
GSK319347A	GDSC1	256	0	7.455017472924964	255	303.81757194724963
TGX221	GDSC1	253	3	0.09591380043637103	229	470.9445411235841
Bortezomib	GDSC1	248	248	4.8526232303615955e-5	0	0.7037146934161781
XMD8-85	GDSC1	251	2	0.48524891203821635	171	663.4470111761291
Seliciclib	GDSC1	248	0	9.71159018830245	247	835.6892529609274
Salubrinal	GDSC1	251	0	3.6565635551702242	237	539.4552920318874
Lapatinib	GDSC1	249	13	0.03125858523532575	166	165.8583210038939
GSK269962A	GDSC1	1021	66	0.01809971875914247	499	251.43532062211028
Doxorubicin	GDSC1	1506	1297	0.004536776437121774	25	67.61868532582417
Etoposide	GDSC1	734	154	0.014732147945369624	270	1008.1829457873931
Gemcitabine	GDSC1	1494	1312	6.267619239857158e-4	61	50.79405859738129
Mitomycin-C	GDSC1	729	484	0.011420127673507472	24	243.9106188513384
Vinorelbine	GDSC1	736	724	4.7489531532893427e-4	0	2.5863358052388854
NSC-87877	GDSC1	732	0	2.1427780856436005	722	1153.80683995114
Bicalutamide	GDSC1	1451	3	0.7499118925145271	1285	498.5477050426295
QS11	GDSC1	730	2	0.5519195677056744	554	765.1630367084141
CP466722	GDSC1	773	0	1.199674045324627	427	478.67734586781785
