DrugName	GDSC2_version	GDSC2_Lines	less_than_1	Min_IC50	more_than_10	Max_IC50
Camptothecin	GDSC2	668	554	0.0022936722696064193	13	62.33199174344604
Vinblastine	GDSC2	619	563	5.554984435722644e-4	7	44.07931069282384
Cisplatin	GDSC2	634	12	0.1135167490170887	489	3419.2271272421244
Cytarabine	GDSC2	621	92	0.012439441947842007	291	720.929040718182
Docetaxel	GDSC2	1178	986	6.286971703147041e-4	61	361.8846630109946
Gefitinib	GDSC2	621	16	0.06444625862030404	496	729.5612402409154
Navitoclax	GDSC2	623	76	0.0063711979551625475	285	3496.16569153601
Vorinostat	GDSC2	627	14	0.26908439041836446	168	417.10395751799297
Nilotinib	GDSC2	626	1	0.9885271919201728	528	2205.414330314805
Olaparib	GDSC2	631	1	0.9443133241146051	596	5056.119904798849
Axitinib	GDSC2	50	0	1.9187954035609887	39	723.4768506216981
AZD7762	GDSC2	633	260	0.06498169291104612	45	548.7337070496735
SB216763	GDSC2	96	0	18.582637534290193	96	8571.225287680636
KU-55933	GDSC2	49	0	12.427527826381372	49	2174.6746897892067
Afatinib	GDSC2	665	59	0.005207044655595545	230	1453.012708564452
Staurosporine	GDSC2	639	619	0.0010295711119174694	3	65.3924200310947
PLX-4720	GDSC2	658	5	0.39424581850328344	618	7852.217263390231
NU7441	GDSC2	48	0	1.450868150929945	31	377.35084070163737
Doramapimod	GDSC2	47	0	3.7726298605717252	46	5118.441613892501
Wee1 Inhibitor	GDSC2	624	17	0.2844298194379472	298	4752.219825486481
Nutlin-3a (-)	GDSC2	639	0	1.5065497832100263	577	13952.650032050322
Mirin	GDSC2	595	0	9.570318502591592	594	23722.73640169682
PD173074	GDSC2	627	8	0.03914839357766919	582	2346.65927363189
ZM447439	GDSC2	48	0	1.9737200989046422	36	1129.8855294340008
Alisertib	GDSC2	600	79	0.020936950595936508	285	1989.062997655581
RO-3306	GDSC2	49	0	1.5905071958467931	39	372.76161903339244
MK-2206	GDSC2	637	13	0.262947657518797	468	2861.8538562457416
Palbociclib	GDSC2	637	2	0.2624198589445747	557	4826.580562158408
Dactolisib	GDSC2	621	513	0.012603613783189938	10	145.78434726009257
Pictilisib	GDSC2	632	60	0.17564583735349376	151	1616.647835875103
AZD8055	GDSC2	96	53	0.013107394840347175	7	82.56120796880306
PD0325901	GDSC2	664	225	0.0029089204637605583	85	163.83378941705638
Obatoclax Mesylate	GDSC2	595	41	0.22157620398648098	126	418.71063357744765
5-Fluorouracil	GDSC2	666	0	2.9516244146038826	642	22841.887042040195
Dasatinib	GDSC2	626	151	0.012523845945028459	260	653.6637577552434
Paclitaxel	GDSC2	626	502	0.0021927526398689817	3	16.92335695470726
Crizotinib	GDSC2	604	9	0.07682719122255098	485	1518.8484749497284
Rapamycin	GDSC2	613	574	0.0031543080771232203	0	5.271221058777242
Sorafenib	GDSC2	626	3	0.5204961393832096	421	1743.4440806272132
BI-2536	GDSC2	44	15	0.002654178171069685	14	41.46430423125781
Irinotecan	GDSC2	661	26	0.036685025513982145	427	3695.9119597399404
Oxaliplatin	GDSC2	1258	2	0.4101295082070554	1169	11295.32573909976
BMS-536924	GDSC2	621	30	0.060920952501595085	302	1380.1212641556622
GSK1904529A	GDSC2	661	0	5.335409217017881	654	5391.563675599042
Tozasertib	GDSC2	49	1	0.9966921819418201	39	1529.079739772544
PF-4708671	GDSC2	49	0	2.23322181989631	48	609.2167112735842
PRIMA-1MET	GDSC2	595	0	2.9172361522597328	583	12410.260109026261
Erlotinib	GDSC2	621	21	0.06475702740302858	407	235.2405720239254
Niraparib	GDSC2	595	1	0.829570013882578	551	3547.831925968606
MK-1775	GDSC2	636	164	0.13226791823215067	93	239.92088142046111
Dinaciclib	GDSC2	596	543	0.00742983705209607	5	40.775010284725894
Gemcitabine	GDSC2	626	306	0.0034602049354993257	190	2392.0971621498743
Bortezomib	GDSC2	625	624	0.0010332720406800576	0	3.5303788146001476
GSK269962A	GDSC2	49	1	0.5011710866438103	38	371.25686000019397
